URL,AllMessagesFlag
https://t.me/V2RAYROZ,true
https://t.me/V2rayNG_Outlinee,true
https://t.me/sinabigo,true
https://t.me/customv2ray,true
https://t.me/fastkanfig,true
https://t.me/vpnstorefast,true
https://t.me/V2RAYROZ,false
https://t.me/V2rayNG_Outlinee,false
https://t.me/sinabigo,false
https://t.me/customv2ray,false
https://t.me/fastkanfig,false
https://t.me/vpnstorefast,false
https://t.me/ELiV2RAY,false
https://t.me/An0nymousTeam,false
https://t.me/oneclickvpnkeys,false
https://t.me/VPN_KING_V2RAY,false
https://t.me/ShadowProxy66,false
https://t.me/ELiV2RAY,true
https://t.me/oneclickvpnkeys,true
